Accession	Id	Description
PF06912	DUF1275	Protein of unknown function (DUF1275)
PF06917	Pectate_lyase_2	Periplasmic pectate lyase
PF06925	MGDG_synth	Monogalactosyldiacylglycerol (MGDG) synthase
PF06939	DUF1286	Protein of unknown function (DUF1286)
PF06941	NT5C	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
PF06951	PLA2G12	Group XII secretory phospholipase A2 precursor (PLA2G12)
PF06955	XET_C	Xyloglucan endo-transglycosylase (XET) C-terminus
PF06964	Alpha-L-AF_C	Alpha-L-arabinofuranosidase C-terminal domain
PF06966	DUF1295	Protein of unknown function (DUF1295)
PF06968	BATS	Biotin and Thiamin Synthesis associated domain
PF06969	HemN_C	HemN C-terminal domain
PF06973	DUF1297	Domain of unknown function (DUF1297)
PF06974	WS_DGAT_C	WS/DGAT C-terminal domain
PF06983	3-dmu-9_3-mt	3-demethylubiquinone-9 3-methyltransferase
PF06988	NifT	NifT/FixU protein
PF06999	Suc_Fer-like	Sucrase/ferredoxin-like
PF07006	DUF1310	Protein of unknown function (DUF1310)
PF07021	MetW	Methionine biosynthesis protein MetW
PF07032	DUF1322	Protein of unknown function (DUF1322)
PF07040	DUF1326	Protein of unknown function (DUF1326)
PF07041	DUF1327	Protein of unknown function (DUF1327)
PF07045	DUF1330	Domain of unknown function (DUF1330)
PF07055	Eno-Rase_FAD_bd	Enoyl reductase FAD binding domain
PF07082	DUF1350	Protein of unknown function (DUF1350)
PF07091	FmrO	Ribosomal RNA methyltransferase (FmrO)
PF07094	DUF1357	Protein of unknown function (DUF1357)
PF07098	DUF1360	Protein of unknown function (DUF1360)
PF07102	DUF1364	Protein of unknown function (DUF1364)
PF07105	DUF1367	Protein of unknown function (DUF1367)
PF07109	Mg-por_mtran_C	Magnesium-protoporphyrin IX methyltransferase C-terminus
PF07137	VDE	VDE lipocalin domain
PF07143	CrtC	CrtC N-terminal lipocalin domain
PF07155	ECF-ribofla_trS	ECF-type riboflavin transporter, S component
PF07156	Prenylcys_lyase	Prenylcysteine lyase
PF07158	MatC_N	Dicarboxylate carrier protein MatC N-terminus
PF07161	LppX_LprAFG	LppX_LprAFG lipoprotein
PF07166	DUF1398	Protein of unknown function (DUF1398)
PF07167	PhaC_N	Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus
PF07176	DUF1400	Alpha/beta hydrolase of unknown function (DUF1400)
PF07178	TraL	TraL protein
PF07179	SseB	SseB protein N-terminal domain
PF07191	zinc-ribbons_6	zinc-ribbons
PF07212	Hyaluronidase_1	Hyaluronidase protein (HylP)
PF07219	HemY_N	HemY protein N-terminus
PF07221	GlcNAc_2-epim	N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
PF07224	Chlorophyllase	Chlorophyllase
PF07247	AATase	Alcohol acetyltransferase
PF07252	DUF1433	Protein of unknown function (DUF1433)
PF07284	BCHF	2-vinyl bacteriochlorophyllide hydratase (BCHF)
PF07291	MauE	Methylamine utilisation protein MauE
PF07301	DUF1453	Protein of unknown function (DUF1453)
PF07302	AroM	AroM protein
PF07307	HEPPP_synt_1	Heptaprenyl diphosphate synthase (HEPPP synthase) subunit 1
PF07316	DUF1463	Protein of unknown function (DUF1463)
PF07332	Phage_holin_3_6	Putative Actinobacterial Holin-X, holin superfamily III
PF07335	Glyco_hydro_75	Fungal chitosanase of glycosyl hydrolase group 75
PF07338	DUF1471	Protein of unknown function (DUF1471)
PF07341	DUF1473	Protein of unknown function (DUF1473)
PF07347	CI-B14_5a	NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)
PF07355	GRDB	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)
PF07366	SnoaL	SnoaL-like polyketide cyclase
PF07371	DUF1490	Protein of unknown function (DUF1490)
PF07374	DUF1492	Protein of unknown function (DUF1492)
PF07394	DUF1501	Protein of unknown function (DUF1501)
PF07395	Mig-14	Mig-14
PF07398	MDMPI_C	MDMPI C-terminal domain
PF07405	DUF1506	Protein of unknown function (DUF1506)
PF07423	DUF1510	Domain of unknown function (DUF1510)
PF07429	Glyco_transf_56	4-alpha-L-fucosyltransferase glycosyl transferase group 56
PF07456	Hpre_diP_synt_I	Heptaprenyl diphosphate synthase component I
PF07463	NUMOD4	NUMOD4 motif
PF07470	Glyco_hydro_88	Glycosyl Hydrolase Family 88
PF07475	Hpr_kinase_C	HPr Serine kinase C-terminal domain
PF07476	MAAL_C	Methylaspartate ammonia-lyase C-terminus
PF07477	Glyco_hydro_67C	Glycosyl hydrolase family 67 C-terminus
PF07478	Dala_Dala_lig_C	D-ala D-ala ligase C-terminus
PF07479	NAD_Gly3P_dh_C	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF07485	DUF1529	Domain of Unknown Function (DUF1259)
PF07486	Hydrolase_2	Cell Wall Hydrolase
PF07488	Glyco_hydro_67M	Glycosyl hydrolase family 67 middle domain
PF07492	Trehalase_Ca-bi	Neutral trehalase Ca2+ binding domain
PF07507	WavE	WavE lipopolysaccharide synthesis
PF07519	Tannase	Tannase and feruloyl esterase
PF07521	RMMBL	Zn-dependent metallo-hydrolase RNA specificity domain
PF07533	BRK	BRK domain
PF07536	HWE_HK	HWE histidine kinase
PF07538	ChW	Clostridial hydrophobic W
PF07560	DUF1539	Domain of Unknown Function (DUF1539)
PF07578	LAB_N	Lipid A Biosynthesis N-terminal domain
PF07580	Peptidase_M26_C	M26 IgA1-specific Metallo-endopeptidase C-terminal region
PF07583	PSCyt2	Protein of unknown function (DUF1549)
PF07586	HXXSHH	Protein of unknown function (DUF1552)
PF07587	PSD1	Protein of unknown function (DUF1553)
PF07589	PEP-CTERM	PEP-CTERM motif
PF07593	UnbV_ASPIC	ASPIC and UnbV
PF07596	SBP_bac_10	Protein of unknown function (DUF1559)
PF07602	DUF1565	Protein of unknown function (DUF1565)
PF07611	DUF1574	Protein of unknown function (DUF1574)
PF07624	PSD2	Protein of unknown function (DUF1585)
PF07626	PSD3	Protein of unknown function (DUF1587)
PF07627	PSCyt3	Protein of unknown function (DUF1588)
PF07631	PSD4	Protein of unknown function (DUF1592)
PF07635	PSCyt1	Planctomycete cytochrome C
PF07636	PSRT	PSRT
PF07637	PSD5	Protein of unknown function (DUF1595)
PF07660	STN	Secretin and TonB N terminus short domain
PF07663	EIIBC-GUT_C	Sorbitol phosphotransferase enzyme II C-terminus
PF07670	Gate	Nucleoside recognition
PF07678	TED_complement	A-macroglobulin TED domain
PF07681	DoxX	DoxX
PF07683	CobW_C	Cobalamin synthesis protein cobW C-terminal domain
PF07685	GATase_3	CobB/CobQ-like glutamine amidotransferase domain
PF07693	KAP_NTPase	KAP family P-loop domain
PF07694	5TM-5TMR_LYT	5TMR of 5TMR-LYT
PF07701	HNOBA	Heme NO binding associated
PF07702	UTRA	UTRA domain
PF07705	CARDB	CARDB
PF07706	TAT_ubiq	Aminotransferase ubiquitination site
PF07711	RabGGT_insert	Rab geranylgeranyl transferase alpha-subunit, insert domain
PF07717	OB_NTP_bind	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF07722	Peptidase_C26	Peptidase C26
PF07724	AAA_2	AAA domain (Cdc48 subfamily)
PF07726	AAA_3	ATPase family associated with various cellular activities (AAA)
PF07728	AAA_5	AAA domain (dynein-related subfamily)
PF07731	Cu-oxidase_2	Multicopper oxidase
PF07732	Cu-oxidase_3	Multicopper oxidase
PF07736	CM_1	Chorismate mutase type I
PF07739	TipAS	TipAS antibiotic-recognition domain
PF07745	Glyco_hydro_53	Glycosyl hydrolase family 53
PF07748	Glyco_hydro_38C	Glycosyl hydrolases family 38 C-terminal domain
PF07756	DUF1612	Protein of unknown function (DUF1612)
PF07757	AdoMet_MTase	Predicted AdoMet-dependent methyltransferase
PF07761	DUF1617	Protein of unknown function (DUF1617)
PF07780	Spb1_C	Spb1 C-terminal domain
PF07786	HGSNAT_cat	Heparan-alpha-glucosaminide N-acetyltransferase, catalytic
PF07789	DUF1627	Protein of unknown function (DUF1627)
PF07790	Pilin_N	Archaeal Type IV pilin, N-terminal
PF07799	DUF1643	Protein of unknown function (DUF1643)
PF07812	TfuA	TfuA-like protein
PF07819	PGAP1	PGAP1-like protein
PF07821	Alpha-amyl_C2	Alpha-amylase C-terminal beta-sheet domain
PF07823	CPDase	Cyclic phosphodiesterase-like protein
PF07826	IMP_cyclohyd	IMP cyclohydrolase-like protein
PF07827	KNTase_C	KNTase C-terminal domain
PF07830	PP2C_C	Protein serine/threonine phosphatase 2C, C-terminal domain
PF07831	PYNP_C	Pyrimidine nucleoside phosphorylase C-terminal domain
PF07833	Cu_amine_oxidN1	Copper amine oxidase N-terminal domain
PF07837	FTCD_N	Formiminotransferase domain, N-terminal subdomain
PF07847	PCO_ADO	PCO_ADO
PF07848	PaaX	PaaX-like protein
PF07849	DUF1641	Protein of unknown function (DUF1641)
PF07853	DUF1648	Protein of unknown function (DUF1648)
PF07858	LEH	Limonene-1,2-epoxide hydrolase catalytic domain
PF07859	Abhydrolase_3	alpha/beta hydrolase fold
PF07862	Nif11	Nif11 domain
PF07865	DUF1652	Protein of unknown function (DUF1652)
PF07869	DUF1656	Protein of unknown function (DUF1656)
PF07881	Fucose_iso_N1	L-fucose isomerase, first N-terminal domain
PF07882	Fucose_iso_N2	L-fucose isomerase, second N-terminal domain
PF07883	Cupin_2	Cupin domain
PF07884	VKOR	Vitamin K epoxide reductase family
PF07895	DUF1673	Protein of unknown function (DUF1673)
PF07901	DUF1672	Protein of unknown function (DUF1672)
PF07902	Gp58	gp58-like protein
PF07922	Glyco_transf_52	Glycosyltransferase family 52
PF07930	DAP_B	D-aminopeptidase, domain B
PF07931	CPT	Chloramphenicol phosphotransferase-like protein
PF07935	SSV1_ORF_D-335	ORF D-335-like protein
PF07940	Hepar_II_III	Heparinase II/III-like protein
PF07943	PBP5_C	Penicillin-binding protein 5, C-terminal domain
PF07944	Glyco_hydro_127	Beta-L-arabinofuranosidase, GH127
PF07951	Toxin_R_bind_C	Clostridium neurotoxin, C-terminal receptor binding
PF07952	Toxin_trans	Clostridium neurotoxin, Translocation domain
PF07953	Toxin_R_bind_N	Clostridium neurotoxin, N-terminal receptor binding
PF07955	DUF1687	Protein of unknown function (DUF1687)
PF07959	Fucokinase	L-fucokinase
PF07963	N_methyl	Prokaryotic N-terminal methylation motif
PF07966	A1_Propeptide	A1 Propeptide
PF07968	Leukocidin	Leukocidin/Hemolysin toxin family
PF07969	Amidohydro_3	Amidohydrolase family
PF07977	FabA	FabA-like domain
PF07978	NIPSNAP	NIPSNAP
PF07991	IlvN	Acetohydroxy acid isomeroreductase, NADPH-binding domain
PF07992	Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase
PF07994	NAD_binding_5	Myo-inositol-1-phosphate synthase
PF07995	GSDH	Glucose / Sorbosone dehydrogenase
PF08000	bPH_1	Bacterial PH domain
PF08002	DUF1697	Protein of unknown function (DUF1697)
PF08003	Methyltransf_9	Protein of unknown function (DUF1698)
PF08006	DUF1700	Protein of unknown function (DUF1700)
PF08007	Cupin_4	Cupin superfamily protein
PF08012	DUF1702	Protein of unknown function (DUF1702)
PF08020	DUF1706	Protein of unknown function (DUF1706)
PF08021	FAD_binding_9	Siderophore-interacting FAD-binding domain
PF08021	FAD_binding_9	Siderophore-interacting FAD-binding domain
PF08022	FAD_binding_8	FAD-binding domain
PF08028	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain
PF08029	HisG_C	HisG, C-terminal domain
PF08030	NAD_binding_6	Ferric reductase NAD binding domain
PF08031	BBE	Berberine and berberine like
PF08032	SpoU_sub_bind	RNA 2'-O ribose methyltransferase substrate binding
PF08040	NADH_oxidored	MNLL subunit
PF08044	DUF1707	Domain of unknown function (DUF1707)
PF08061	P68HR	P68HR (NUC004) repeat
PF08063	PADR1	PADR1 (NUC008) domain
PF08064	UME	UME (NUC010) domain
PF08072	BDHCT	BDHCT (NUC031) domain
PF08073	CHDNT	CHDNT (NUC034) domain
PF08074	CHDCT2	CHDCT2 (NUC038) domain
PF08123	DOT1	Histone methylation protein DOT1
PF08124	Lyase_8_N	Polysaccharide lyase family 8, N terminal alpha-helical domain
PF08125	Mannitol_dh_C	Mannitol dehydrogenase C-terminal domain
PF08126	Propeptide_C25	Propeptide_C25
PF08127	Propeptide_C1	Peptidase family C1 propeptide
PF08133	Nuclease_act	Anticodon nuclease activator family
PF08147	DBP10CT	DBP10CT (NUC160) domain
PF08163	NUC194	NUC194 domain
PF08210	APOBEC_N	APOBEC-like N-terminal domain
PF08211	dCMP_cyt_deam_2	Cytidine and deoxycytidylate deaminase zinc-binding region
PF08214	HAT_KAT11	Histone acetylation protein
PF08218	Citrate_ly_lig	Citrate lyase ligase C-terminal domain
PF08223	PaaX_C	PaaX-like protein C-terminal domain
PF08235	LNS2	LNS2 (Lipin/Ned1/Smp2)
PF08236	SRI	SRI (Set2 Rpb1 interacting) domain
PF08240	ADH_N	Alcohol dehydrogenase GroES-like domain
PF08241	Methyltransf_11	Methyltransferase domain
PF08242	Methyltransf_12	Methyltransferase domain
PF08245	Mur_ligase_M	Mur ligase middle domain
PF08267	Meth_synt_1	Cobalamin-independent synthase, N-terminal domain
PF08278	DnaG_DnaB_bind	DNA primase DnaG DnaB-binding
PF08282	Hydrolase_3	haloacid dehalogenase-like hydrolase
PF08308	PEGA	PEGA domain
PF08310	LGFP	LGFP repeat
PF08323	Glyco_transf_5	Starch synthase catalytic domain
PF08326	ACC_central	Acetyl-CoA carboxylase, central region
PF08328	ASL_C	Adenylosuccinate lyase C-terminal
PF08329	ChitinaseA_N	Chitinase A, N-terminal domain
PF08332	CaMKII_AD	Calcium/calmodulin dependent protein kinase II association domain
PF08335	GlnD_UR_UTase	GlnD PII-uridylyltransferase
PF08336	P4Ha_N	Prolyl 4-Hydroxylase alpha-subunit, N-terminal region
PF08338	DUF1731	Domain of unknown function (DUF1731)
PF08343	RNR_N	Ribonucleotide reductase N-terminal
PF08348	PAS_6	YheO-like PAS domain
PF08354	DUF1729	Domain of unknown function (DUF1729)
PF08359	TetR_C_4	YsiA-like protein, C-terminal region
PF08369	PCP_red	Proto-chlorophyllide reductase 57 kD subunit
PF08392	FAE1_CUT1_RppA	FAE1/Type III polyketide synthase-like protein
PF08402	TOBE_2	TOBE domain
PF08405	Calici_PP_N	Viral polyprotein N-terminal
PF08407	Chitin_synth_1N	Chitin synthase N-terminal
PF08414	NADPH_Ox	Respiratory burst NADPH oxidase
PF08417	PaO	Pheophorbide a oxygenase
PF08421	Methyltransf_13	Putative zinc binding domain
PF08429	PLU-1	PLU-1-like protein
PF08433	KTI12	Chromatin associated protein KTI12
PF08436	DXP_redisom_C	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain
PF08437	Glyco_transf_8C	Glycosyl transferase family 8 C-terminal
PF08440	Poty_PP	Potyviridae polyprotein
PF08444	Gly_acyl_tr_C	Aralkyl acyl-CoA:amino acid N-acyltransferase, C-terminal region
PF08445	FR47	FR47-like protein
PF08447	PAS_3	PAS fold
PF08450	SGL	SMP-30/Gluconolactonase/LRE-like region
PF08465	Herpes_TK_C	Thymidine kinase from Herpesvirus C-terminal
PF08468	MTS_N	Methyltransferase small domain N-terminal
PF08469	NPHI_C	Nucleoside triphosphatase I C-terminal
PF08470	NTNH_C	Nontoxic nonhaemagglutinin C-terminal
PF08471	Ribonuc_red_2_N	Class II vitamin B12-dependent ribonucleotide reductase
PF08472	S6PP_C	Sucrose-6-phosphate phosphohydrolase C-terminal
PF08476	VD10_N	Viral D10 N-terminal
PF08480	Disaggr_assoc	Disaggregatase related
PF08481	GBS_Bsp-like	GBS Bsp-like repeat
PF08484	Methyltransf_14	C-methyltransferase C-terminal domain
PF08485	Polysacc_syn_2C	Polysaccharide biosynthesis protein C-terminal
PF08488	WAK	Wall-associated kinase
PF08491	SE	Squalene epoxidase
PF08494	DEAD_assoc	DEAD/H associated
PF08496	Peptidase_S49_N	Peptidase family S49 N-terminal
PF08498	Sterol_MT_C	Sterol methyltransferase C-terminal
PF08499	PDEase_I_N	3'5'-cyclic nucleotide phosphodiesterase N-terminal
PF08501	Shikimate_dh_N	Shikimate dehydrogenase substrate binding domain
PF08502	LeuA_dimer	LeuA allosteric (dimerisation) domain
PF08503	DapH_N	Tetrahydrodipicolinate succinyltransferase N-terminal
PF08509	Ad_cyc_g-alpha	Adenylate cyclase G-alpha binding domain
PF08515	TGF_beta_GS	Transforming growth factor beta type I GS-motif
PF08516	ADAM_CR	ADAM cysteine-rich
PF08526	PAD_N	Protein-arginine deiminase (PAD) N-terminal domain
PF08527	PAD_M	Protein-arginine deiminase (PAD) middle domain
PF08531	Bac_rhamnosid_N	Alpha-L-rhamnosidase N-terminal domain
PF08532	Glyco_hydro_42M	Beta-galactosidase trimerisation domain
PF08533	Glyco_hydro_42C	Beta-galactosidase C-terminal domain
PF08534	Redoxin	Redoxin
PF08535	KorB	KorB domain
PF08540	HMG_CoA_synt_C	Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF08541	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
PF08543	Phos_pyr_kin	Phosphomethylpyrimidine kinase
PF08544	GHMP_kinases_C	GHMP kinases C terminal
PF08545	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08546	ApbA_C	Ketopantoate reductase PanE/ApbA C terminal
PF08587	UBA_2	Ubiquitin associated domain (UBA)
PF08592	DUF1772	Domain of unknown function (DUF1772)
PF08608	Wyosine_form	Wyosine base formation
PF08645	PNK3P	Polynucleotide kinase 3 phosphatase
PF08658	Rad54_N	Rad54 N terminal
PF08659	KR	KR domain
PF08660	Alg14	Oligosaccharide biosynthesis protein Alg14 like
PF08666	SAF	SAF domain
PF08667	BetR	BetR domain
PF08669	GCV_T_C	Glycine cleavage T-protein C-terminal barrel domain
PF08681	DUF1778	Protein of unknown function (DUF1778)
PF08685	GON	GON domain
PF08686	PLAC	PLAC (protease and lacunin) domain
PF08703	PLC-beta_C	PLC-beta C terminal
PF08704	GCD14	tRNA methyltransferase complex GCD14 subunit
PF08707	PriCT_2	Primase C terminal 2 (PriCT-2)
PF08708	PriCT_1	Primase C terminal 1 (PriCT-1)
PF08714	Fae	Formaldehyde-activating enzyme (Fae)
PF08715	CoV_peptidase	Coronavirus papain-like peptidase
PF08716	CoV_NSP7	Coronavirus replicase NSP7
PF08717	CoV_NSP8	Coronavirus replicase NSP8
PF08727	P3A	Poliovirus 3A protein like
PF08735	DUF1786	Putative pyruvate format-lyase activating enzyme (DUF1786)
PF08759	GT-D	Glycosyltransferase GT-D fold
PF08761	dUTPase_2	dUTPase
PF08774	VRR_NUC	VRR-NUC domain
PF08785	Ku_PK_bind	Ku C terminal domain like
PF08786	DcrB	DcrB
PF08797	HIRAN	HIRAN domain
PF08803	ydhR	Putative mono-oxygenase ydhR
PF08808	RES	RES domain
PF08820	DUF1803	Domain of unknown function (DUF1803)
PF08825	E2_bind	E2 binding domain
PF08826	DMPK_coil	DMPK coiled coil domain like
PF08840	BAAT_C	BAAT / Acyl-CoA thioester hydrolase C terminal
PF08841	DDR	Diol dehydratase reactivase ATPase-like domain
PF08845	SymE_toxin	Toxin SymE, type I toxin-antitoxin system
PF08861	DUF1828	Domain of unknown function DUF1828
PF08862	DUF1829	Domain of unknown function DUF1829
PF08867	FRG	FRG domain
PF08874	DUF1835	Domain of unknown function (DUF1835)
PF08876	DUF1836	Domain of unknown function (DUF1836)
PF08877	MepB	MepB protein
PF08886	GshA	Glutamate-cysteine ligase
PF08889	WbqC	WbqC-like protein family
PF08891	YfcL	YfcL protein
PF08892	YqcI_YcgG	YqcI/YcgG family
PF08941	USP8_interact	USP8 interacting
PF08943	CsiD	CsiD
PF08990	Docking	Erythronolide synthase docking domain
PF08992	QH-AmDH_gamma	Quinohemoprotein amine dehydrogenase, gamma subunit
PF08997	UCR_6-4kD	Ubiquinol-cytochrome C reductase complex, 6.4kD protein
PF09000	Cytotoxic	Cytotoxic
PF09008	Head_binding	Head binding
PF09009	Exotox-A_cataly	Exotoxin A catalytic
PF09013	YopH_N	YopH, N-terminal
PF09028	Mac-1	Mac 1
PF09029	Preseq_ALAS	5-aminolevulinate synthase presequence
PF09030	Creb_binding	Creb binding
PF09036	Bcr-Abl_Oligo	Bcr-Abl oncoprotein oligomerisation domain
PF09037	Sulphotransf	Stf0 sulphotransferase
PF09040	H-K_ATPase_N	Gastric H+/K+-ATPase, N terminal domain
PF09052	SipA	SipA N-terminal domain
PF09055	Sod_Ni	Nickel-containing superoxide dismutase
PF09061	Stirrup	Stirrup
PF09084	NMT1	NMT1/THI5 like
PF09086	DUF1924	Domain of unknown function (DUF1924)
PF09111	SLIDE	SLIDE
PF09118	DUF1929	Domain of unknown function (DUF1929)
PF09130	DUF1932	Domain of unknown function (DUF1932)
PF09138	Urm1	Urm1 (Ubiquitin related modifier)
PF09140	MipZ	ATPase MipZ
PF09154	DUF1939	Domain of unknown function (DUF1939)
PF09163	Form-deh_trans	Formate dehydrogenase N, transmembrane
PF09165	Ubiq-Cytc-red_N	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal
PF09166	Biliv-reduc_cat	Biliverdin reductase, catalytic
PF09171	AGOG	N-glycosylase/DNA lyase
PF09179	TilS	TilS substrate binding domain
PF09190	DALR_2	DALR domain
PF09199	SSL_OB	Staphylococcal superantigen-like OB-fold domain
PF09202	Rio2_N	Rio2, N-terminal
PF09204	Colicin_immun	Bacterial self-protective colicin-like immunity
PF09206	ArabFuran-catal	Alpha-L-arabinofuranosidase B, catalytic
PF09209	CecR_C	HTH-type transcriptional dual regulator CecR, C-terminal domain
PF09221	Bacteriocin_IId	Bacteriocin class IId cyclical uberolysin-like
PF09223	ZinT	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment
PF09230	DFF40	DNA fragmentation factor 40 kDa
PF09242	FCSD-flav_bind	Flavocytochrome c sulphide dehydrogenase, flavin-binding
PF09243	Rsm22	Mitochondrial small ribosomal subunit Rsm22
PF09249	tRNA_NucTransf2	tRNA nucleotidyltransferase, second domain
PF09260	DUF1966	Domain of unknown function (DUF1966)
PF09261	Alpha-mann_mid	Alpha mannosidase middle domain
PF09265	Cytokin-bind	Cytokinin dehydrogenase 1, FAD and cytokinin binding
PF09266	VirDNA-topo-I_N	Viral DNA topoisomerase I, N-terminal
PF09272	Hepsin-SRCR	Hepsin, SRCR domain
PF09284	RhgB_N	Rhamnogalacturonan lyase B, N-terminal
PF09286	Pro-kuma_activ	Pro-kumamolisin, activation domain
PF09290	AcetDehyd-dimer	Prokaryotic acetaldehyde dehydrogenase, dimerisation
PF09296	NUDIX-like	NADH pyrophosphatase-like rudimentary NUDIX domain
PF09297	zf-NADH-PPase	NADH pyrophosphatase zinc ribbon domain
PF09298	FAA_hydrolase_N	Fumarylacetoacetase N-terminal
PF09308	LuxQ-periplasm	LuxQ, periplasmic
PF09314	DUF1972	Domain of unknown function (DUF1972)
PF09317	DUF1974	Domain of unknown function (DUF1974)
PF09321	DUF1978	Domain of unknown function (DUF1978)
PF09323	DUF1980	Domain of unknown function (DUF1980)
PF09326	NADH_dhqG_C	NADH-ubiquinone oxidoreductase subunit G, C-terminal
PF09328	Phytochelatin_C	Domain of unknown function (DUF1984)
PF09335	SNARE_assoc	SNARE associated Golgi protein
PF09336	Vps4_C	Vps4 C terminal oligomerisation domain
PF09338	Gly_reductase	Glycine/sarcosine/betaine reductase component B subunits
PF09348	DUF1990	Domain of unknown function (DUF1990)
PF09350	DUF1992	Domain of unknown function (DUF1992)
PF09361	Phasin_2	Phasin protein
PF09363	XFP_C	XFP C-terminal domain
PF09364	XFP_N	XFP N-terminal domain
PF09365	DUF2461	Conserved hypothetical protein (DUF2461)
PF09396	Thrombin_light	Thrombin light chain
PF09397	FtsK_gamma	Ftsk gamma domain
PF09412	XendoU	Endoribonuclease XendoU
PF09445	Methyltransf_15	RNA cap guanine-N2 methyltransferase
PF09456	RcsC	RcsC Alpha-Beta-Loop (ABL)
PF09472	MtrF	Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF)
PF09488	Osmo_MPGsynth	Mannosyl-3-phosphoglycerate synthase (osmo_MPGsynth)
PF09492	Pec_lyase	Pectic acid lyase
PF09505	Dimeth_Pyl	Dimethylamine methyltransferase (Dimeth_PyL)
PF09508	Lact_bio_phlase	Lacto-N-biose phosphorylase N-terminal TIM barrel domain
PF09537	DUF2383	Domain of unknown function (DUF2383)
PF09544	DUF2381	Protein of unknown function (DUF2381)
PF09547	Spore_IV_A	Stage IV sporulation protein A (spore_IV_A)
PF09550	Phage_TAC_6	Phage tail assembly chaperone protein, TAC
PF09580	Spore_YhcN_YlaJ	Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ)
PF09587	PGA_cap	Bacterial capsule synthesis protein PGA_cap
PF09588	YqaJ	YqaJ-like viral recombinase domain
PF09594	GT87	Glycosyltransferase family 87
PF09604	Potass_KdpF	F subunit of K+-transporting ATPase (Potass_KdpF)
PF09605	Trep_Strep	Hypothetical bacterial integral membrane protein (Trep_Strep)
PF09612	HtrL_YibB	Bacterial protein of unknown function (HtrL_YibB)
PF09626	DHC	Dihaem cytochrome c
PF09663	Amido_AtzD_TrzD	Amidohydrolase ring-opening protein (Amido_AtzD_TrzD)
PF09668	Asp_protease	Aspartyl protease
PF09683	Lactococcin_972	Bacteriocin (Lactococcin_972)
PF09695	YtfJ_HI0045	Bacterial protein of unknown function (YtfJ_HI0045)
PF09699	Paired_CXXCH_1	Doubled CXXCH motif (Paired_CXXCH_1)
PF09712	PHA_synth_III_E	Poly(R)-hydroxyalkanoic acid synthase subunit (PHA_synth_III_E)
PF09719	C_GCAxxG_C_C	Putative redox-active protein (C_GCAxxG_C_C)
PF09723	Zn-ribbon_8	Zinc ribbon domain
PF09731	Mitofilin	Mitochondrial inner membrane protein
PF09749	HVSL	Uncharacterised conserved protein
PF09752	DUF2048	Alpha/beta hydrolase domain containing 18
PF09764	Nt_Gln_amidase	N-terminal glutamine amidase
PF09768	Peptidase_M76	Peptidase M76 family
PF09825	BPL_N	Biotin-protein ligase, N terminal
PF09830	ATP_transf	ATP adenylyltransferase C-terminal domain
PF09834	DUF2061	Predicted membrane protein (DUF2061)
PF09837	DUF2064	Uncharacterized protein conserved in bacteria (DUF2064)
PF09843	DUF2070	Predicted membrane protein (DUF2070)
PF09844	DUF2071	Uncharacterized conserved protein (COG2071)
PF09848	DUF2075	Uncharacterized conserved protein (DUF2075)
PF09851	SHOCT	Short C-terminal domain
PF09860	DUF2087	Uncharacterized protein conserved in bacteria (DUF2087)
PF09862	DUF2089	Protein of unknown function (DUF2089)
PF09865	DUF2092	Predicted periplasmic protein (DUF2092)
PF09907	HigB_toxin	HigB_toxin, RelE-like toxic component of a toxin-antitoxin system
PF09912	DUF2141	Uncharacterized protein conserved in bacteria (DUF2141)
PF09913	DUF2142	Predicted membrane protein (DUF2142)
PF09920	DUF2150	Uncharacterized protein conserved in archaea (DUF2150)
PF09922	DUF2154	Cell wall-active antibiotics response 4TMS YvqF
PF09924	LPG_synthase_C	Phosphatidylglycerol lysyltransferase, C-terminal
PF09948	DUF2182	Predicted metal-binding integral membrane protein (DUF2182)
PF09953	DUF2187	Uncharacterized protein conserved in bacteria (DUF2187)
PF09967	DUF2201	VWA-like domain (DUF2201)
PF09971	DUF2206	Predicted membrane protein (DUF2206)
PF09972	DUF2207	Predicted membrane protein (DUF2207)
PF09995	MPAB_Lcp_cat	ER-bound oxygenase mpaB/B'/Rubber oxygenase, catalytic domain
PF10007	DUF2250	Uncharacterized protein conserved in archaea (DUF2250)
PF10009	DUF2252	Uncharacterized protein conserved in bacteria (DUF2252)
